Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
303,CoCo's Bakery,1930000.0,2850000.0,1990,55
304,Maggianos Little Italy,4740000.0,6900000.0,1991,54
305,Mai Sushi,42000.0,119000.0,2015,54
306,Everbowl,134000.0,452000.0,2016,54
307,D.P. Dough,106000.0,330000.0,1987,53
308,Travelin' Tom's Coffee,191000.0,246000.0,2021,53
309,It's Boba Time,389000.0,532000.0,2011,53
310,Western Sizzlin,451000.0,4500000.0,2007,53
311,Corelife Eatery,761000.0,1020000.0,2016,52
312,Fiiz Drinks,232000.0,497000.0,2017,52
313,Cheba Hut,591000.0,1290000.0,2001,51
314,World Of Beer,1350000.0,2000000.0,2007,51
315,Nature's Table,62000.0,464000.0,1977,51
316,Big Apple Bagels,184000.0,591000.0,1992,50
317,Hot Dog On A Stick,126000.0,439000.0,1946,50
318,Dog Haus,98000.0,1300000.0,2013,50
319,Mr Gatti's Pizza,2190000.0,3660000.0,1969,50
320,Me-N-Ed's Pizzeria,459000.0,779000.0,1996,49
321,Genghis Grill,400000.0,1180000.0,1998,49
322,Lee's Sandwiches,197000.0,1840000.0,2002,48
323,Nick the Greek,415000.0,597000.0,2018,48
324,Moge Tee,159000.0,269000.0,2019,48
325,I Love Juice Bar,203000.0,373000.0,2014,47
326,Keke's Breakfast Cafe,594000.0,1790000.0,1989,47
327,Repicci's Italian Ice Gelato,181000.0,196000.0,2004,47
328,Gloria Jean's Coffee,179000.0,496000.0,1986,47
329,Chronic Tacos,294000.0,886000.0,2006,47
330,Frios Gourmet Pops,41000.0,72000.0,2016,47
331,Swig,535000.0,1120000.0,2016,46
332,Barberitos,497000.0,674000.0,2000,46
333,Waffle Cabin,87000.0,220000.0,2012,46
334,Farm Stores,160000.0,826000.0,2014,46
335,Sirloin Stockade,1270000.0,3160000.0,1966,46
336,California Tortilla,378000.0,697000.0,1995,45
337,Two Hands Corn Dogs,211000.0,350000.0,2019,45
338,Sarpino's Pizzeria,319000.0,499000.0,2002,45
339,Jinya Ramen Bar,1410000.0,3080000.0,2012,45
340,Great Wraps,160000.0,486000.0,1988,45
341,Cupbop,284000.0,634000.0,2014,44
342,Beach Hut Deli,91000.0,639000.0,1981,44
343,Beard Papa's,162000.0,475000.0,1999,44
344,Deli Delicious,122000.0,474000.0,1996,44
345,Andy's Frozen Custard,622000.0,1490000.0,1986,44
346,Cousins Maine Lobster (Food Truck),197000.0,537000.0,2014,44
347,Snappy Tomato Pizza,121000.0,350000.0,1993,43
348,Quaker Steak & Lube,465000.0,3530000.0,2016,43
349,The Brass Tap,783000.0,1320000.0,2012,43
350,Romeo's Pizza,191000.0,641000.0,2016,43
351,Little Greek Fresh Grill,150000.0,504000.0,2005,42
352,GRIMALDI's PIZZERIA,1370000.0,1760000.0,2019,42
353,Foxtail Coffee,310000.0,521000.0,2016,42
354,Huey Magoo's Chicken Tenders,693000.0,2790000.0,2004,42
355,Paisano’s,347000.0,636000.0,1998,41
356,Hurricane Grill & Wings,564000.0,2540000.0,1995,41
357,Buffalo Wild Wings Go,248000.0,1070000.0,1990,41
358,Beyond Juicery and Eatery,361000.0,516000.0,2005,41
359,Roy Rogers,755000.0,1580000.0,1968,40
360,PizzaRev,494000.0,1150000.0,2013,40
361,Oberweis,446000.0,3560000.0,1954,40
362,Pada Sushi,48000.0,101000.0,2012,40
363,7 BREW,887000.0,1850000.0,2017,40
364,Cheeburger Cheeburger,159000.0,360000.0,1994,39
365,Happy Joe's,287000.0,1160000.0,2000,39
366,Nikko,35000.0,50000.0,2018,38
367,Asian Chao,670000.0,1270000.0,1991,38
368,Rush Bowls,200000.0,545000.0,2004,38
369,Pizza Forum,258000.0,438000.0,1994,38
370,Roly Poly,107000.0,227000.0,1996,38
371,Naf-Naf Middle Eastern Grill,539000.0,813000.0,2009,38
372,1000 Degrees Pizzeria,221000.0,784000.0,2014,37
373,The Buffalo Spot,256000.0,616000.0,2014,37
374,Extreme Pizza,216000.0,469000.0,1994,37
375,Meet Fresh,595000.0,1140000.0,2016,37
376,Carbone's Pizzeria,291000.0,2060000.0,1977,37
377,7 Leaves Cafe,244000.0,490000.0,2017,37
378,Aurelio's Pizza,424000.0,1270000.0,1976,37
379,Bareburger,123000.0,1550000.0,2009,36
380,Russo's New York Pizzeria,439000.0,1490000.0,1998,36
381,Wings Over,198000.0,702000.0,2002,35
382,Broken Yolk Cafe,544000.0,1460000.0,1979,35
383,Zero Degrees,412000.0,583000.0,2013,35
384,Fuzziwig's Candy Factory,189000.0,363000.0,1996,35
385,Native Grill and Wings,998000.0,2620000.0,2015,35
386,Coffee Beanery,260000.0,496000.0,1976,34
387,Rusty Taco,532000.0,1100000.0,2014,34
388,Gus's World Famous Fried Chicken,578000.0,1280000.0,2012,33
389,Sub Zero,119000.0,295000.0,2010,33
